res_state,res_district,pop_year,pop_month,population
Gujarat,Bhavnagar,2009,january,590000.0
Gujarat,Bhavnagar,2009,february,590000.0
Gujarat,Bhavnagar,2009,march,590000.0
Gujarat,Bhavnagar,2009,april,590000.0
Gujarat,Bhavnagar,2009,may,590000.0
Gujarat,Bhavnagar,2009,june,590000.0
Gujarat,Bhavnagar,2009,july,590000.0
Gujarat,Bhavnagar,2009,august,590000.0
Gujarat,Bhavnagar,2009,september,590000.0
Gujarat,Bhavnagar,2009,october,590000.0
Gujarat,Bhavnagar,2009,november,590000.0
Gujarat,Bhavnagar,2009,december,590000.0
Gujarat,Bhavnagar,2010,january,600000.0
Gujarat,Bhavnagar,2010,february,600000.0
Gujarat,Bhavnagar,2010,march,600000.0
Gujarat,Bhavnagar,2010,april,600000.0
Gujarat,Bhavnagar,2010,may,600000.0
Gujarat,Bhavnagar,2010,june,600000.0
Gujarat,Bhavnagar,2010,july,600000.0
Gujarat,Bhavnagar,2010,august,600000.0
Gujarat,Bhavnagar,2010,september,600000.0
Gujarat,Bhavnagar,2010,october,600000.0
Gujarat,Bhavnagar,2010,november,600000.0
Gujarat,Bhavnagar,2010,december,600000.0
Gujarat,Bhavnagar,2011,january,609000.0
Gujarat,Bhavnagar,2011,february,609000.0
Gujarat,Bhavnagar,2011,march,609000.0
Gujarat,Bhavnagar,2011,april,609000.0
Gujarat,Bhavnagar,2011,may,609000.0
Gujarat,Bhavnagar,2011,june,609000.0
Gujarat,Bhavnagar,2011,july,609000.0
Gujarat,Bhavnagar,2011,august,609000.0
Gujarat,Bhavnagar,2011,september,609000.0
Gujarat,Bhavnagar,2011,october,609000.0
Gujarat,Bhavnagar,2011,november,609000.0
Gujarat,Bhavnagar,2011,december,609000.0
Gujarat,Bhavnagar,2012,january,619000.0
Gujarat,Bhavnagar,2012,february,619000.0
Gujarat,Bhavnagar,2012,march,619000.0
Gujarat,Bhavnagar,2012,april,619000.0
Gujarat,Bhavnagar,2012,may,619000.0
Gujarat,Bhavnagar,2012,june,619000.0
Gujarat,Bhavnagar,2012,july,619000.0
Gujarat,Bhavnagar,2012,august,619000.0
Gujarat,Bhavnagar,2012,september,619000.0
Gujarat,Bhavnagar,2012,october,619000.0
Gujarat,Bhavnagar,2012,november,619000.0
Gujarat,Bhavnagar,2012,december,619000.0
Gujarat,Bhavnagar,2013,january,629000.0
Gujarat,Bhavnagar,2013,february,629000.0
Gujarat,Bhavnagar,2013,march,629000.0
Gujarat,Bhavnagar,2013,april,629000.0
Gujarat,Bhavnagar,2013,may,629000.0
Gujarat,Bhavnagar,2013,june,629000.0
Gujarat,Bhavnagar,2013,july,629000.0
Gujarat,Bhavnagar,2013,august,629000.0
Gujarat,Bhavnagar,2013,september,629000.0
Gujarat,Bhavnagar,2013,october,629000.0
Gujarat,Bhavnagar,2013,november,629000.0
Gujarat,Bhavnagar,2013,december,629000.0
Gujarat,Bhavnagar,2014,january,639000.0
Gujarat,Bhavnagar,2014,february,639000.0
Gujarat,Bhavnagar,2014,march,639000.0
Gujarat,Bhavnagar,2014,april,639000.0
Gujarat,Bhavnagar,2014,may,639000.0
Gujarat,Bhavnagar,2014,june,639000.0
Gujarat,Bhavnagar,2014,july,639000.0
Gujarat,Bhavnagar,2014,august,639000.0
Gujarat,Bhavnagar,2014,september,639000.0
Gujarat,Bhavnagar,2014,october,639000.0
Gujarat,Bhavnagar,2014,november,639000.0
Gujarat,Bhavnagar,2014,december,639000.0
Gujarat,Bhavnagar,2015,january,649000.0
Gujarat,Bhavnagar,2015,february,649000.0
Gujarat,Bhavnagar,2015,march,649000.0
Gujarat,Bhavnagar,2015,april,649000.0
Gujarat,Bhavnagar,2015,may,649000.0
Gujarat,Bhavnagar,2015,june,649000.0
Gujarat,Bhavnagar,2015,july,649000.0
Gujarat,Bhavnagar,2015,august,649000.0
Gujarat,Bhavnagar,2015,september,649000.0
Gujarat,Bhavnagar,2015,october,649000.0
Gujarat,Bhavnagar,2015,november,649000.0
Gujarat,Bhavnagar,2015,december,649000.0
Gujarat,Bhavnagar,2016,january,659000.0
Gujarat,Bhavnagar,2016,february,659000.0
Gujarat,Bhavnagar,2016,march,659000.0
Gujarat,Bhavnagar,2016,april,659000.0
Gujarat,Bhavnagar,2016,may,659000.0
Gujarat,Bhavnagar,2016,june,659000.0
Gujarat,Bhavnagar,2016,july,659000.0
Gujarat,Bhavnagar,2016,august,659000.0
Gujarat,Bhavnagar,2016,september,659000.0
Gujarat,Bhavnagar,2016,october,659000.0
Gujarat,Bhavnagar,2016,november,659000.0
Gujarat,Bhavnagar,2016,december,659000.0
Gujarat,Bhavnagar,2017,january,669000.0
Gujarat,Bhavnagar,2017,february,669000.0
Gujarat,Bhavnagar,2017,march,669000.0
Gujarat,Bhavnagar,2017,april,669000.0
Gujarat,Bhavnagar,2017,may,669000.0
Gujarat,Bhavnagar,2017,june,669000.0
Gujarat,Bhavnagar,2017,july,669000.0
Gujarat,Bhavnagar,2017,august,669000.0
Gujarat,Bhavnagar,2017,september,669000.0
Gujarat,Bhavnagar,2017,october,669000.0
Gujarat,Bhavnagar,2017,november,669000.0
Gujarat,Bhavnagar,2017,december,669000.0
Gujarat,Bhavnagar,2018,january,680000.0
Gujarat,Bhavnagar,2018,february,680000.0
Gujarat,Bhavnagar,2018,march,680000.0
Gujarat,Bhavnagar,2018,april,680000.0
Gujarat,Bhavnagar,2018,may,680000.0
Gujarat,Bhavnagar,2018,june,680000.0
Gujarat,Bhavnagar,2018,july,680000.0
Gujarat,Bhavnagar,2018,august,680000.0
Gujarat,Bhavnagar,2018,september,680000.0
Gujarat,Bhavnagar,2018,october,680000.0
Gujarat,Bhavnagar,2018,november,680000.0
Gujarat,Bhavnagar,2018,december,680000.0
Gujarat,Bhavnagar,2019,january,690000.0
Gujarat,Bhavnagar,2019,february,690000.0
Gujarat,Bhavnagar,2019,march,690000.0
Gujarat,Bhavnagar,2019,april,690000.0
Gujarat,Bhavnagar,2019,may,690000.0
Gujarat,Bhavnagar,2019,june,690000.0
Gujarat,Bhavnagar,2019,july,690000.0
Gujarat,Bhavnagar,2019,august,690000.0
Gujarat,Bhavnagar,2019,september,690000.0
Gujarat,Bhavnagar,2019,october,690000.0
Gujarat,Bhavnagar,2019,november,690000.0
Gujarat,Bhavnagar,2019,december,690000.0
Gujarat,Bhavnagar,2020,january,700000.0
Gujarat,Bhavnagar,2020,february,700000.0
Gujarat,Bhavnagar,2020,march,700000.0
Gujarat,Bhavnagar,2020,april,700000.0
Gujarat,Bhavnagar,2020,may,700000.0
Gujarat,Bhavnagar,2020,june,700000.0
Gujarat,Bhavnagar,2020,july,700000.0
Gujarat,Bhavnagar,2020,august,700000.0
Gujarat,Bhavnagar,2020,september,700000.0
Gujarat,Bhavnagar,2020,october,700000.0
Gujarat,Bhavnagar,2020,november,700000.0
Gujarat,Bhavnagar,2020,december,700000.0
Gujarat,Bhavnagar,2021,january,712000.0
Gujarat,Bhavnagar,2021,february,712000.0
Gujarat,Bhavnagar,2021,march,712000.0
Gujarat,Bhavnagar,2021,april,712000.0
Gujarat,Bhavnagar,2021,may,712000.0
Gujarat,Bhavnagar,2021,june,712000.0
Gujarat,Bhavnagar,2021,july,712000.0
Gujarat,Bhavnagar,2021,august,712000.0
Gujarat,Bhavnagar,2021,september,712000.0
Gujarat,Bhavnagar,2021,october,712000.0
Gujarat,Bhavnagar,2021,november,712000.0
Gujarat,Bhavnagar,2021,december,712000.0
Gujarat,Bhavnagar,2022,january,724000.0
Gujarat,Bhavnagar,2022,february,724000.0
Gujarat,Bhavnagar,2022,march,724000.0
Gujarat,Bhavnagar,2022,april,724000.0
Gujarat,Bhavnagar,2022,may,724000.0
Gujarat,Bhavnagar,2022,june,724000.0
Gujarat,Bhavnagar,2022,july,724000.0
Gujarat,Bhavnagar,2022,august,724000.0
Gujarat,Bhavnagar,2022,september,724000.0
Gujarat,Bhavnagar,2022,october,724000.0
Gujarat,Bhavnagar,2022,november,724000.0
Gujarat,Bhavnagar,2022,december,724000.0
Gujarat,Bhavnagar,2023,january,737000.0
Gujarat,Bhavnagar,2023,february,737000.0
Gujarat,Bhavnagar,2023,march,737000.0
Gujarat,Bhavnagar,2023,april,737000.0
Gujarat,Bhavnagar,2023,may,737000.0
Gujarat,Bhavnagar,2023,june,737000.0
Gujarat,Bhavnagar,2023,july,737000.0
Gujarat,Bhavnagar,2023,august,737000.0
Gujarat,Bhavnagar,2023,september,737000.0
Gujarat,Bhavnagar,2023,october,737000.0
Gujarat,Bhavnagar,2023,november,737000.0
Gujarat,Bhavnagar,2023,december,737000.0
Gujarat,Porbandar,2009,january,
Gujarat,Porbandar,2009,february,
Gujarat,Porbandar,2009,march,
Gujarat,Porbandar,2009,april,
Gujarat,Porbandar,2009,may,
Gujarat,Porbandar,2009,june,
Gujarat,Porbandar,2009,july,
Gujarat,Porbandar,2009,august,
Gujarat,Porbandar,2009,september,
Gujarat,Porbandar,2009,october,
Gujarat,Porbandar,2009,november,
Gujarat,Porbandar,2009,december,
Gujarat,Porbandar,2010,january,
Gujarat,Porbandar,2010,february,
Gujarat,Porbandar,2010,march,
Gujarat,Porbandar,2010,april,
Gujarat,Porbandar,2010,may,
Gujarat,Porbandar,2010,june,
Gujarat,Porbandar,2010,july,
Gujarat,Porbandar,2010,august,
Gujarat,Porbandar,2010,september,
Gujarat,Porbandar,2010,october,
Gujarat,Porbandar,2010,november,
Gujarat,Porbandar,2010,december,
Gujarat,Porbandar,2011,january,
Gujarat,Porbandar,2011,february,
Gujarat,Porbandar,2011,march,
Gujarat,Porbandar,2011,april,
Gujarat,Porbandar,2011,may,
Gujarat,Porbandar,2011,june,
Gujarat,Porbandar,2011,july,
Gujarat,Porbandar,2011,august,
Gujarat,Porbandar,2011,september,
Gujarat,Porbandar,2011,october,
Gujarat,Porbandar,2011,november,
Gujarat,Porbandar,2011,december,
Gujarat,Porbandar,2012,january,
Gujarat,Porbandar,2012,february,
Gujarat,Porbandar,2012,march,
Gujarat,Porbandar,2012,april,
Gujarat,Porbandar,2012,may,
Gujarat,Porbandar,2012,june,
Gujarat,Porbandar,2012,july,
Gujarat,Porbandar,2012,august,
Gujarat,Porbandar,2012,september,
Gujarat,Porbandar,2012,october,
Gujarat,Porbandar,2012,november,
Gujarat,Porbandar,2012,december,
Gujarat,Porbandar,2013,january,
Gujarat,Porbandar,2013,february,
Gujarat,Porbandar,2013,march,
Gujarat,Porbandar,2013,april,
Gujarat,Porbandar,2013,may,
Gujarat,Porbandar,2013,june,
Gujarat,Porbandar,2013,july,
Gujarat,Porbandar,2013,august,
Gujarat,Porbandar,2013,september,
Gujarat,Porbandar,2013,october,
Gujarat,Porbandar,2013,november,
Gujarat,Porbandar,2013,december,
Gujarat,Porbandar,2014,january,
Gujarat,Porbandar,2014,february,
Gujarat,Porbandar,2014,march,
Gujarat,Porbandar,2014,april,
Gujarat,Porbandar,2014,may,
Gujarat,Porbandar,2014,june,
Gujarat,Porbandar,2014,july,
Gujarat,Porbandar,2014,august,
Gujarat,Porbandar,2014,september,
Gujarat,Porbandar,2014,october,
Gujarat,Porbandar,2014,november,
Gujarat,Porbandar,2014,december,
Gujarat,Porbandar,2015,january,
Gujarat,Porbandar,2015,february,
Gujarat,Porbandar,2015,march,
Gujarat,Porbandar,2015,april,
Gujarat,Porbandar,2015,may,
Gujarat,Porbandar,2015,june,
Gujarat,Porbandar,2015,july,
Gujarat,Porbandar,2015,august,
Gujarat,Porbandar,2015,september,
Gujarat,Porbandar,2015,october,
Gujarat,Porbandar,2015,november,
Gujarat,Porbandar,2015,december,
Gujarat,Porbandar,2016,january,
Gujarat,Porbandar,2016,february,
Gujarat,Porbandar,2016,march,
Gujarat,Porbandar,2016,april,
Gujarat,Porbandar,2016,may,
Gujarat,Porbandar,2016,june,
Gujarat,Porbandar,2016,july,
Gujarat,Porbandar,2016,august,
Gujarat,Porbandar,2016,september,
Gujarat,Porbandar,2016,october,
Gujarat,Porbandar,2016,november,
Gujarat,Porbandar,2016,december,
Gujarat,Porbandar,2017,january,
Gujarat,Porbandar,2017,february,
Gujarat,Porbandar,2017,march,
Gujarat,Porbandar,2017,april,
Gujarat,Porbandar,2017,may,
Gujarat,Porbandar,2017,june,
Gujarat,Porbandar,2017,july,
Gujarat,Porbandar,2017,august,
Gujarat,Porbandar,2017,september,
Gujarat,Porbandar,2017,october,
Gujarat,Porbandar,2017,november,
Gujarat,Porbandar,2017,december,
Gujarat,Porbandar,2018,january,
Gujarat,Porbandar,2018,february,
Gujarat,Porbandar,2018,march,
Gujarat,Porbandar,2018,april,
Gujarat,Porbandar,2018,may,
Gujarat,Porbandar,2018,june,
Gujarat,Porbandar,2018,july,
Gujarat,Porbandar,2018,august,
Gujarat,Porbandar,2018,september,
Gujarat,Porbandar,2018,october,
Gujarat,Porbandar,2018,november,
Gujarat,Porbandar,2018,december,
Gujarat,Porbandar,2019,january,
Gujarat,Porbandar,2019,february,
Gujarat,Porbandar,2019,march,
Gujarat,Porbandar,2019,april,
Gujarat,Porbandar,2019,may,
Gujarat,Porbandar,2019,june,
Gujarat,Porbandar,2019,july,
Gujarat,Porbandar,2019,august,
Gujarat,Porbandar,2019,september,
Gujarat,Porbandar,2019,october,
Gujarat,Porbandar,2019,november,
Gujarat,Porbandar,2019,december,
Gujarat,Porbandar,2020,january,
Gujarat,Porbandar,2020,february,
Gujarat,Porbandar,2020,march,
Gujarat,Porbandar,2020,april,
Gujarat,Porbandar,2020,may,
Gujarat,Porbandar,2020,june,
Gujarat,Porbandar,2020,july,
Gujarat,Porbandar,2020,august,
Gujarat,Porbandar,2020,september,
Gujarat,Porbandar,2020,october,
Gujarat,Porbandar,2020,november,
Gujarat,Porbandar,2020,december,
Gujarat,Porbandar,2021,january,
Gujarat,Porbandar,2021,february,
Gujarat,Porbandar,2021,march,
Gujarat,Porbandar,2021,april,
Gujarat,Porbandar,2021,may,
Gujarat,Porbandar,2021,june,
Gujarat,Porbandar,2021,july,
Gujarat,Porbandar,2021,august,
Gujarat,Porbandar,2021,september,
Gujarat,Porbandar,2021,october,
Gujarat,Porbandar,2021,november,
Gujarat,Porbandar,2021,december,
Gujarat,Porbandar,2022,january,
Gujarat,Porbandar,2022,february,
Gujarat,Porbandar,2022,march,
Gujarat,Porbandar,2022,april,
Gujarat,Porbandar,2022,may,
Gujarat,Porbandar,2022,june,
Gujarat,Porbandar,2022,july,
Gujarat,Porbandar,2022,august,
Gujarat,Porbandar,2022,september,
Gujarat,Porbandar,2022,october,
Gujarat,Porbandar,2022,november,
Gujarat,Porbandar,2022,december,
Gujarat,Porbandar,2023,january,
Gujarat,Porbandar,2023,february,
Gujarat,Porbandar,2023,march,
Gujarat,Porbandar,2023,april,
Gujarat,Porbandar,2023,may,
Gujarat,Porbandar,2023,june,
Gujarat,Porbandar,2023,july,
Gujarat,Porbandar,2023,august,
Gujarat,Porbandar,2023,september,
Gujarat,Porbandar,2023,october,
Gujarat,Porbandar,2023,november,
Gujarat,Porbandar,2023,december,
Gujarat,Rajkot,2009,january,1317000.0
Gujarat,Rajkot,2009,february,1317000.0
Gujarat,Rajkot,2009,march,1317000.0
Gujarat,Rajkot,2009,april,1317000.0
Gujarat,Rajkot,2009,may,1317000.0
Gujarat,Rajkot,2009,june,1317000.0
Gujarat,Rajkot,2009,july,1317000.0
Gujarat,Rajkot,2009,august,1317000.0
Gujarat,Rajkot,2009,september,1317000.0
Gujarat,Rajkot,2009,october,1317000.0
Gujarat,Rajkot,2009,november,1317000.0
Gujarat,Rajkot,2009,december,1317000.0
Gujarat,Rajkot,2010,january,1361000.0
Gujarat,Rajkot,2010,february,1361000.0
Gujarat,Rajkot,2010,march,1361000.0
Gujarat,Rajkot,2010,april,1361000.0
Gujarat,Rajkot,2010,may,1361000.0
Gujarat,Rajkot,2010,june,1361000.0
Gujarat,Rajkot,2010,july,1361000.0
Gujarat,Rajkot,2010,august,1361000.0
Gujarat,Rajkot,2010,september,1361000.0
Gujarat,Rajkot,2010,october,1361000.0
Gujarat,Rajkot,2010,november,1361000.0
Gujarat,Rajkot,2010,december,1361000.0
Gujarat,Rajkot,2011,january,1406000.0
Gujarat,Rajkot,2011,february,1406000.0
Gujarat,Rajkot,2011,march,1406000.0
Gujarat,Rajkot,2011,april,1406000.0
Gujarat,Rajkot,2011,may,1406000.0
Gujarat,Rajkot,2011,june,1406000.0
Gujarat,Rajkot,2011,july,1406000.0
Gujarat,Rajkot,2011,august,1406000.0
Gujarat,Rajkot,2011,september,1406000.0
Gujarat,Rajkot,2011,october,1406000.0
Gujarat,Rajkot,2011,november,1406000.0
Gujarat,Rajkot,2011,december,1406000.0
Gujarat,Rajkot,2012,january,1453000.0
Gujarat,Rajkot,2012,february,1453000.0
Gujarat,Rajkot,2012,march,1453000.0
Gujarat,Rajkot,2012,april,1453000.0
Gujarat,Rajkot,2012,may,1453000.0
Gujarat,Rajkot,2012,june,1453000.0
Gujarat,Rajkot,2012,july,1453000.0
Gujarat,Rajkot,2012,august,1453000.0
Gujarat,Rajkot,2012,september,1453000.0
Gujarat,Rajkot,2012,october,1453000.0
Gujarat,Rajkot,2012,november,1453000.0
Gujarat,Rajkot,2012,december,1453000.0
Gujarat,Rajkot,2013,january,1501000.0
Gujarat,Rajkot,2013,february,1501000.0
Gujarat,Rajkot,2013,march,1501000.0
Gujarat,Rajkot,2013,april,1501000.0
Gujarat,Rajkot,2013,may,1501000.0
Gujarat,Rajkot,2013,june,1551000.0
Gujarat,Rajkot,2013,july,1501000.0
Gujarat,Rajkot,2013,august,1501000.0
Gujarat,Rajkot,2013,september,1501000.0
Gujarat,Rajkot,2013,october,1501000.0
Gujarat,Rajkot,2013,november,1501000.0
Gujarat,Rajkot,2013,december,1501000.0
Gujarat,Rajkot,2014,january,1551000.0
Gujarat,Rajkot,2014,february,1551000.0
Gujarat,Rajkot,2014,march,1551000.0
Gujarat,Rajkot,2014,april,1551000.0
Gujarat,Rajkot,2014,may,1551000.0
Gujarat,Rajkot,2014,june,1551000.0
Gujarat,Rajkot,2014,july,1551000.0
Gujarat,Rajkot,2014,august,1551000.0
Gujarat,Rajkot,2014,september,1551000.0
Gujarat,Rajkot,2014,october,1551000.0
Gujarat,Rajkot,2014,november,1551000.0
Gujarat,Rajkot,2014,december,1551000.0
Gujarat,Rajkot,2015,january,1602000.0
Gujarat,Rajkot,2015,february,1602000.0
Gujarat,Rajkot,2015,march,1602000.0
Gujarat,Rajkot,2015,april,1602000.0
Gujarat,Rajkot,2015,may,1602000.0
Gujarat,Rajkot,2015,june,1602000.0
Gujarat,Rajkot,2015,july,1602000.0
Gujarat,Rajkot,2015,august,1602000.0
Gujarat,Rajkot,2015,september,1602000.0
Gujarat,Rajkot,2015,october,1602000.0
Gujarat,Rajkot,2015,november,1602000.0
Gujarat,Rajkot,2015,december,1602000.0
Gujarat,Rajkot,2016,january,1655000.0
Gujarat,Rajkot,2016,february,1655000.0
Gujarat,Rajkot,2016,march,1655000.0
Gujarat,Rajkot,2016,april,1655000.0
Gujarat,Rajkot,2016,may,1655000.0
Gujarat,Rajkot,2016,june,1655000.0
Gujarat,Rajkot,2016,july,1655000.0
Gujarat,Rajkot,2016,august,1655000.0
Gujarat,Rajkot,2016,september,1655000.0
Gujarat,Rajkot,2016,october,1655000.0
Gujarat,Rajkot,2016,november,1655000.0
Gujarat,Rajkot,2016,december,1655000.0
Gujarat,Rajkot,2017,january,1710000.0
Gujarat,Rajkot,2017,february,1710000.0
Gujarat,Rajkot,2017,march,1710000.0
Gujarat,Rajkot,2017,april,1710000.0
Gujarat,Rajkot,2017,may,1710000.0
Gujarat,Rajkot,2017,june,1710000.0
Gujarat,Rajkot,2017,july,1710000.0
Gujarat,Rajkot,2017,august,1710000.0
Gujarat,Rajkot,2017,september,1710000.0
Gujarat,Rajkot,2017,october,1710000.0
Gujarat,Rajkot,2017,november,1710000.0
Gujarat,Rajkot,2017,december,1710000.0
Gujarat,Rajkot,2018,january,
Gujarat,Rajkot,2018,february,
